文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_014_chunk4,text,Each specimen was instrumented at its midpoint on the inner surface with three carefully calibrated Pt versus Pt-10Rh thermocouples spot welded to the Zircaloy via tantalum tabs (for reaction temperatures in excess of $1 1 0 0 ^ { \circ } \mathrm { C } )$ .,Zircaloy,oxidized,instrumentation,oxidation,,,,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,,,,,,,,,1100.0,°C,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk1,text,Specimens of cold-worked $Z \bar { \mathbf { r } } { - } 2 . 5 \%$ Nb pressure tube material,Zr-2.5Nb,cold-worked,,irradiation,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk1,text,irradiated unstressed in the Dido reactor at Atomic Energy Research Establishment (AERE) Harwell to fluences up to $7 . 5 \ \times \ 1 0 ^ { 2 5 } \ \mathrm { n / m ^ { 2 } }$ $E > 1$ MeV (about 18 dpa),Zr-2.5Nb,unstressed,irradiation,irradiation,,,,,,,,,,,,,,,,,,,,,,18.0,7.5e+25,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk1,text,irradiation growth behavior has been investigated as a function of temperature in the range 553 to $6 2 \bar { 3 } \mathrm { ~ K ~ }$,Zr-2.5Nb,,,irradiation growth,,,,,,,,,,,,,,,,,,553.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk1,text,irradiation growth behavior has been investigated as a function of temperature in the range 553 to $6 2 \bar { 3 } \mathrm { ~ K ~ }$,Zr-2.5Nb,,,irradiation growth,,,,,,,,,,,,,,,,,,623.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk1,text,The growth strains and strain rates in the axial direction are found to decrease with increased irradiation temperature,Zr-2.5Nb,,,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,mm/y,,,,,420000000000000.0,m^-2
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk1,text,The alloy $Z _ { \mathrm { { r } - } } 2 . 5 ~ \mathrm { w t } \%$ Nb is used in the cold-worked and stress relieved condition,Zr-2.5Nb,cold-worked and stress relieved,,,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk1,text,machined specimens were given the final heat treatment at $6 7 3 \ \mathrm { K }$ for $^ { 2 4 \mathrm { ~ h ~ } }$,Zr-2.5Nb,,heat treatment,,,,,,,,,,,,,,,,,,,673.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk1,Table 1,"AR: Bruce pressure tube, extruded at 11 : 1, cold-worked 25% and autoclaved for 24 h at 670 K",Zr-2.5Nb,cold-worked 25%,"extruded at 11:1, autoclaved",,,,,,,,,,,,,,,,,,,670.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk1,Table 1,"SR: material AR, stress-relieved 6 h at 890 K",Zr-2.5Nb,stress-relieved,stress-relieved,,,,,,,,,,,,,,,,,,,890.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk2,text,long-term rate (3.3 to 3.9×10⁻²⁹ m²/n),CW,,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,,,,,3.3e-29–3.9e-29,m²/n,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk2,text,temperature of irradiation is increased to 583 K,CW,,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,310.0,,,,,,,,,,,,,,,,,,,,1e+25,n/m²,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk2,text,strain after 2 to 3×10²⁵ n/m² varies by 3 to 4×10⁻⁴,SR,,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,280.0,,,,,2.5e+25,,,,,,,,,,,,,,,0.0003–0.0004,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk2,text,"long-term growth rate is lower than that of both AR and CW material, about 1×10⁻²⁹ m²/n",SR,,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,280.0,,,,,7.2e+25,,,,,,,,,,,,,,,1e-29,m²/n,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk3,Fig. 9,The growth behavior of the R3 material in the L direction at 553 and 583 K,R3,,,irradiation growth,,,,,,,,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,,,,,2.3e-29,m²/n,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk3,Fig. 9,"Initial growth at 553 K is positive, followed by a period of very low growth developing into a low positive rate (0.7 × 10⁻²⁹ m²/n)",R3,,,irradiation growth,,,,,,,,,,,,,,,,,,280.0,,,,,2e+25,,,,,,,,,,,,,,,7e-30,m²/n,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk3,Fig. 10,the rate increases to -0.4 × 10⁻²⁹ m²/n,R3,,,irradiation growth,,,,,,,,,,,,,,,,,,310.0,,,,,1.7e+25,,,,,,,,,,,,,,,-4e-30,m²/n,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk3,Fig. 11,The growth rate then increases to about 2.7 × 10⁻²⁹ m²/n,D1,,,irradiation growth,,,,,,,,,,,,,,,,,,280.0,,,,,4.5e+25,,,,,,,,,,,,,,,2.7e-29,m²/n,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk3,Fig. 11,the growth rate has increased to about 0.5 × 10⁻²⁹ m²/n,D1,,,irradiation growth,,,,,,,,,,,,,,,,,,310.0,,,,,1.5e+25,,,,,,,,,,,,,,,5e-30,m²/n,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk4,Table 2,Material D1 EL: 0.4 to 1.2,D1,,,irradiation growth,,,,,,,,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,,,,,0.4–1.2,1,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk4,text,negative growth is expected in the T direction and positive growth is expected in the L direction of all the materials,,,,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk4,Table 3,Material R1 Fluence 0.5 EL: -1.5,R1,,,differential growth,,,,,,,,,,,,,,,,,,553.0,,,,,1.2 to 1.8 × 10^5 n/m²,,,,,,,,,,,,,,,-1.5,1,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk4,Table 3,Material R1 Fluence 0.5 €L: -1.3,R1,,,differential growth,,,,,,,,,,,,,,,,,,583.0,,,,,1.2 to 1.8 × 10^5 n/m²,,,,,,,,,,,,,,,-1.3,1,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk4,Table 3,Material R1 Fluence 1.0 €T: 0.8,R1,,,differential growth,,,,,,,,,,,,,,,,,,553.0,,,,,1.2 to 1.8 × 10^5 n/m²,,,,,,,,,,,,,,,0.8,1,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk5,Table 4,"Sink Type/SIA anisotropy, ηa 1.094",,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,1.094,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk5,Table 4,7.normal to (c) 1.102,,,,,,,,,,,,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,,,1.102,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk5,text,SIA anisotropy factor η increases with temperature,Zircaloy-2,cold-worked and stress relieved,,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk5,text,fitted growth rate is higher at 553 K than at 353 K,Zircaloy-2,cold-worked and stress relieved,,irradiation growth,,,,,,,,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk5,text,(c + a) dislocations and (p + c/2) basal loops bias factors decrease with temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk6,text,D1 material also exhibits a negative growth rate in the L direction at 623 K,Zr-2.5%Nb,pressure tube material,cold-worked,irradiation,,,2.5,,,,,,,,,,,,,,,623.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk6,text,R1 material at 553 K,,,,irradiation,,,,,,,,,,,,,,,,,,553.0,,,,,,,,,,,,,,,,,,,,30–70,K,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk6,text,range of values of A thus obtained for R1 material is -0.7 to -1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7–-1.9,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk6,text,"irradiated, unstressed, in the Dido reactor at AERE Harwell to fluences up to 7.5×10^25 n/m² E > 1 MeV (about 18 dpa)",Zr-2.5%Nb,pressure tube material,cold-worked,irradiation,,,2.5,,,,,,,,,,,,,,,,,,,18.0,7.5e+25,,,,,,,,,,,,,,,7.5e+25,n/m²,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk6,text,Decreasing the temperature from 623 or 583 K to 553 K,,,,irradiation,,,,,,,,,,,,,,,,,,623.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk6,text,Decreasing the temperature from 623 or 583 K to 553 K,,,,irradiation,,,,,,,,,,,,,,,,,,583.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_045_chunk7,Discussion Section,Differences between out-of-flux oxide thickness near the inlet and outlet ends of the tubes were small (compared to differences between in-flux and out-of-flux values) but significant.,,pressure tube,corrosion,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk1,Abstract,The a-c impedance measurements were made for oxide films formed in high temperature steam on Zry-2 with varying precipitate distributions.,Zry-2,oxide films,corrosion,a-c impedance measurement,,,,,,,,,,,,,,,,,,,high temperature steam,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk1,Abstract,TEM and EDX analyses were also carried out on precipitates in oxide films.,Zry-2,"oxide films, precipitates",corrosion,"TEM analysis, EDX analysis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk1,Abstract,The electrical resistivity of oxide films tends to increase with an increase in nodular corrosion resistance.,Zry-2,oxide films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk1,Abstract,with the $\beta$ -quenched samples having the highest resistivity.,Zry-2,$\beta$ -quenched,$\beta$ -quenched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk1,Abstract,The resistivity tended to increase with a decrease in average precipitate size.,Zry-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk1,Abstract,EDX analyses showed that precipitates in oxide films dissolved into oxide matrix during the corrosion process in high temperature steam.,Zry-2,"oxide films, precipitates",corrosion,EDX analysis,,,,,,,,,,,,,,,,,,,high temperature steam,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk1,Materials,Test materials were Zry-2 tubes of four different lots and different qualities with respect to corrosion susceptibility.,Zry-2,tubes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk1,Materials,Test samples $1 5 \mathrm { m m }$ wide and $3 0 \mathrm { m m }$ long were cut from the tubes after flattening tubes along a circumferential direction.,Zry-2,samples,"cutting, flattening",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk1,Materials,Some samples were solution-treated at $1 0 5 0 \mathrm { { ^circ C } }$ for 3 min and then water-quenched.,Zry-2,samples,"solution-treated, water-quenched",,,,,,,,,,,,,,,,,,,1050.0,,,,,,0.05,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk2,table,"Z3, 1.55, 0.15, 0.12, 0.06, 1090, 38, 17",Z3,,,,,"{'value': 1.55, 'unit': 'wt%'}",,"{'value': 0.15, 'unit': 'wt%'}","{'value': 0.12, 'unit': 'wt%'}","{'value': 0.06, 'unit': 'wt%'}",,,,,"{'value': 1090.0, 'unit': 'ppm'}",,,,"{'value': 17.0, 'unit': 'ppm'}","{'value': 38.0, 'unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk3,Fig. 3,The distance between intercepts of the semicircle and the real axis gives the d-c resistivity of the oxide film (Fig. 3),,oxide film,corrosion,electrical resistivity measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk3,Table 4,"Although there was little variation in oxide film thickness (Table 4, 400°C/12h)",,oxide film,corrosion,corrosion test,,,,,,,,,,,,,,,,,,400.0,steam,,,,,12.0,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk4,Fig. 9b,"Iron and chromium concentrations were 10.8 and 32.9 atomic %, respectively",Zry-2,oxide film,corrosion,EDX analysis,,,,,,,,,,,,,,,,,,475.0,,,,,,,,,,,,,,,,,,,,,,32.9,wt%,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk4,Fig. 10d,the nickel concentration was about 3 %,Zry-2,oxide film,corrosion,EDX analysis,,,,,,,,,,,,,,,,,,450.0,steam,,,,,24.0,,,,,,,,,,,,,,,,3.0,wt%,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk4,Discussion,"Most iron, chromium, and nickel precipitate from the Zry-2 matrix to form intermetallic compounds about 0.1 to 0.5 μm in size",Zry-2,annealed,annealing,microstructure observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1–0.5,μm
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk4,Discussion,whose lamellae boundaries are densely decorated with fine precipitates smaller than about 0.1 μm in size,Zry-2,β-quenched,β-quenching,microstructure observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk4,Discussion,their thicknesses were very thin (0.6 to 0.8 μm),Zry-2,oxide film,corrosion,thickness measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6–0.8,μm,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk4,Table 5,"400/24, Little change in composition, Little change in composition",Z4,oxide film,α-annealed,EDX analysis,,,,,,,,,,,,,,,,,,400.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk4,Table 5,"450/24, Little change in, composition Dissolution",Z4,oxide film,α-annealed,EDX analysis,,,,,,,,,,,,,,,,,,450.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk4,Table 5,"475/24, of Fe Dissolution, of Fe,Ni Dissolution",Z4,oxide film,α-annealed,EDX analysis,,,,,,,,,,,,,,,,,,475.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk5,text,showed that there was a decreasing trend in the electrical resistivities with an increase in the precipitate size.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0–900.0,ppm,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk5,text,they were smallest in the case of $\beta$ -quenched Zry-2 though the quenching had produced very high density of precipitates along the lamellae boundaries of Zry-2 matrix.,Zry-2,$\beta$ -quenched,$\beta$ -quenching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk5,text,In the case of $\beta$ -quenched BZ4. no precipitate was found in oxide films even at $4 0 0 \mathrm { { ‰} }$,BZ4,$\beta$ -quenched,$\beta$ -quenching,EDX analysis,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk5,text,Black/shiny and almost uniform oxide films were formed by steam corrosion at 400 to $4 7 5 \mathrm { ‰}$,,oxide films,steam corrosion,corrosion,,,,,,,,,,,,,,,,,,400.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk5,text,Black/shiny and almost uniform oxide films were formed by steam corrosion at 400 to $4 7 5 \mathrm { ‰}$,,oxide films,steam corrosion,corrosion,,,,,,,,,,,,,,,,,,475.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk5,text,The electrical resistivity of oxide films tends to increase with an increase in the nodular corrosion resistance.,,oxide films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_031_chunk6,Discussion,Urquhart et al. sputtered very thin (about 150 Å) Pt electrode spots on Zry-4 surface,Zry-4,,sputtered with Pt electrode,electrode preparation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,Å,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk1,text,"controlled-chemistry Zircaloy-2, which had low tin, high iron, and high nickel content, exhibited better nodular corrosion resistance than conventional Zircaloy-2",Zircaloy-2,,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk1,text,low accumulated annealing parameters $( \Sigma A _ { i } )$ tubing exhibited better nodular corrosion resistance than high $\Sigma A _ { i }$ tubing,Zircaloy-2,tubing,annealing,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk1,text,tube shell can be $\alpha + \beta$ through-wall quenched at a rapid cooling rate of $> 5 0$ K/s from 1173 to $1 0 7 3  \mathbf { K }$,Zircaloy-2,tube shell,quenching,,,,,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk1,text,tube shell can be $\alpha + \beta$ through-wall quenched at a rapid cooling rate of $> 5 0$ K/s from 1173 to $1 0 7 3  \mathbf { K }$,Zircaloy-2,tube shell,quenching,,,,,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk1,text,"The final tubing showed high nodular corrosion resistance, having no nodules in the high temperature $( 7 7 3  \mathrm { { K } ) }$ corrosion test",Zircaloy-2,final tubing,,corrosion test,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk1,text,The temperature during extrusion is controlled below $\mathfrak { s } 2 3  : \mathbf { K }$,Zircaloy-2,hollow billet,extrusion,,,,,,,,,,,,,,,,,,,550.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk1,text,"Lower temperature (lower than $\mathbf { 9 5 0 ~ K } ,$ annealing is performed after extrusion",Zircaloy-2,tube shell,annealing,,,,,,,,,,,,,,,,,,,677.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk1,text,"The tube shell, $6 3 . 5 \mathrm { \ m m }$ outside diameter (OD) by $1 0 . 9 \mathrm { m m }$ wall thickness (WT)",Zircaloy-2,tube shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk1,text,is induction heated (through-wall) to 1213 K $( { \pmb \alpha } + { \pmb \beta } )$,Zircaloy-2,tube shell,induction heating,,,,,,,,,,,,,,,,,,,940.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk1,text,the tube shell is stress relieved at $\tt { 8 5 3 ~ K }$,Zircaloy-2,tube shell,stress relieving,,,,,,,,,,,,,,,,,,,580.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk2,Table 3,"The heat-treated tube shell; 5; no nodules; 42, 43, 41, 43, 42",,heat-treated tube shell,heat-treated,corrosion test,,,,,,,,,,,,,,,,,,773.0,,,,,,,,,,,,,,,,,,,,,,43.0,mg/dm²,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk2,Table 3,"Conventional (reference) tube shell; 2; many nodules; 850, 550",,Conventional tube shell,conventional,corrosion test,,,,,,,,,,,,,,,,,,773.0,,,,,,,,,,,,,,,,,,,,,,many nodules,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk2,Fig. 5,Log Billet 1; Machining (to hollow billet) 1; β -Quenching 1; Extrusion $6 3 . 5 \phi \times 1 0 . !$ t 1 mm; Annealing ↓(936K) → A; $\alpha + \beta$ -quenching 1 → B; Stress-Relief (853K) → C,,A,Extrusion; Annealing (936 K),,,,,,,,,,,,,,,,,,,663.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk2,Fig. 5,Log Billet 1; Machining (to hollow billet) 1; β -Quenching 1; Extrusion $6 3 . 5 \phi \times 1 0 . !$ t 1 mm; Annealing ↓(936K) → A; $\alpha + \beta$ -quenching 1 → B; Stress-Relief (853K) → C,,B,$\alpha + \beta$ -quenching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk2,Fig. 5,Log Billet 1; Machining (to hollow billet) 1; β -Quenching 1; Extrusion $6 3 . 5 \phi \times 1 0 . !$ t 1 mm; Annealing ↓(936K) → A; $\alpha + \beta$ -quenching 1 → B; Stress-Relief (853K) → C,,C,Stress-Relief,,,,,,,,,,,,,,,,,,,580.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk2,Fig. 5,Log Billet 1; β-Quenching 1; α -forging 1; Machining(to hollow billet) 1; Extrusion $6 3 . 5 \phi \times 1 0 . 9 \mathrm { t }$ 1 mm mm; Annealing 1(922K) → S,,S,Extrusion; Annealing,,,,,,,,,,,,,,,,,,,649.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk2,Table 4,A; Extruded and annealed tube shell from B-quenched hollow billet,,A,Extruded; annealed; B-quenched hollow billet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk3,Table 6,"A, extruded + annealed ... Ultimate tensile strength, MPa ... 544",,"A, extruded + annealed",extruded + annealed,tensile test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.0,MPa,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk3,Table 6,"B, α + β-quenching ... Ultimate tensile strength, MPa ... 530",,"B, α + β-quenching",α + β-quenching,tensile test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.0,MPa,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk3,Table 6,"C, α + β-quenching and stress relief ... Ultimate tensile strength, MPa ... 533",,"C, α + β-quenching and stress relief",α + β-quenching and stress relief,tensile test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,MPa,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk3,Table 6,"S, conventional ... Ultimate tensile strength, MPa ... 549",,"S, conventional",conventional,tensile test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.0,MPa,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk4,Table 8,c	63.5 φ × 10.9t 44.4 φ × 7.6t	51.2	1.0	no cracks,,reduced tube,cold pilgering,cold-pilgering test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk4,Table 9,"5	no nodules	45, 46, 45, 48, 47",Zircaloy-2,final product,,773 K corrosion test,,,,,,,,,,,,,,,,,,773.0,,,,,,,,,,,,,,,,,,,,,,45.0,mg/dm²,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk4,Text,Intermediate and annealing parameters were 853 K (2 h) and 843 K (3 h).,Zircaloy-2,tube,intermediate annealing,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,853.0,K,,,,,,,,
STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_019_chunk4,Text,Intermediate and annealing parameters were 853 K (2 h) and 843 K (3 h).,Zircaloy-2,tube,annealing,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,843.0,K,,,,,,,,
